S.No.,Name,Designation,Department,Domain,No. of Journal Publications,No. of Conference Publications,Book/Chapter,Research Projects - Completed,Research Projects - Ongoing,Total Publications,All_Domains,Primary Domain,Domain Category,Total_Projects,Has_Projects
21,Dr Satyender Singh,Assistant Professor (Grade-I),Mechanical Engineering,Fluid Machinery,43,7,4,3,3,54,['fluid machinery'],fluid machinery,Other,6,True
22,Dr Saurabh Kango,Assistant Professor (Grade-I),Mechanical Engineering,Non-Newtonian Rheologies of lubricants,34,28,7,1,2,69,['materials science'],materials science,Chemical & Materials,3,True
23,Dr Sumit Sharma,Assistant Professor (Grade-I),Mechanical Engineering,Nanotechnology,68,21,18,2,0,107,['nanotechnology'],nanotechnology,Chemical & Materials,2,True
24,Dr Ravi Kant Ravi,Assistant Professor (Grade-II),Mechanical Engineering,Solar Thermal Systems,14,6,4,0,3,24,['solar thermal systems'],solar thermal systems,Other,3,True
25,Dr Ranchan Chauhan,Assistant Professor,Mechanical Engineering,Thermal Engineering,56,9,1,1,0,66,['thermal engineering'],thermal engineering,Other,1,True
1,Dr Arvinder Singh,Professor (HAG),Physics,Laser-Plasma accelerators,93,8,0,1,1,101,['laser-plasma accelerators'],laser-plasma accelerators,Physics,2,True
2,Dr H M Mittal,Professor & Head,Physics,Theoretical Nuclear Physics,51,117,0,1,0,168,['nuclear physics'],nuclear physics,Physics,1,True
3,Dr Rohit Mehra,Professor,Physics,Nanotechnology,215,8,8,6,1,231,['nanotechnology'],nanotechnology,Chemical & Materials,7,True
4,Dr Abhinav Pratap Singh,Associate Professor,Physics,Condensed matter physics,42,0,1,2,1,43,['condensed matter physics'],condensed matter physics,Physics,3,True
5,Dr Arvind Kumar,Associate Professor,Physics,Theoretical High Energy Physics,50,50,0,2,1,100,['high energy physics'],high energy physics,Physics,3,True
6,Dr Harleen Dahiya,Associate Professor,Physics,Theoretical High Energy Physics,64,0,2,7,2,66,['high energy physics'],high energy physics,Physics,9,True
7,Dr Jyoti Bharj,Associate Professor,Physics,Nanotechnology,10,4,1,0,0,15,['nanotechnology'],nanotechnology,Chemical & Materials,0,False
8,Dr Kiran Singh,Associate Professor,Physics,Multiferroics,81,39,0,3,3,120,['multiferroics'],multiferroics,Other,6,True
9,Dr Praveen Malik,Associate Professor,Physics,Nanotechnology,86,18,2,7,2,106,['nanotechnology'],nanotechnology,Chemical & Materials,9,True
10,Dr Suneel Dutt,Associate Professor,Physics,Detector Development,8,14,0,2,0,22,['detector development'],detector development,Physics,2,True
11,Dr Vinod Ashokan,Associate Professor,Physics,Nanotechnology,34,3,0,3,1,37,['nanotechnology'],nanotechnology,Chemical & Materials,4,True
12,Dr Shishram Rebari,Assistant Professor Grade-II,Physics,Condensed Matter Physics,6,1,1,0,0,8,['condensed matter physics'],condensed matter physics,Physics,0,False
13,Dr Shubhchintak,Assistant Professor Grade-II,Physics,Nuclear astrophysics,28,0,0,0,0,28,['nuclear astrophysics'],nuclear astrophysics,Other,0,False
1,Dr J N Chakraborty,Professor (HAG),Textile Engineering,Waste Water Management,171,23,8,1,1,202,['water and wastewater'],water and wastewater,Civil & Environmental,2,True
2,Dr S K Sinha,Professor (HAG),Textile Engineering,Yarn Manufacturing,62,27,4,2,0,93,['textile manufacturing'],textile manufacturing,Textiles,2,True
3,Dr A Chatterjee,Professor,Textile Engineering,Fibre Science,28,18,9,1,0,55,['textile manufacturing'],textile manufacturing,Textiles,1,True
4,Dr Arunangshu Mukhopadhyay,Professor,Textile Engineering,Fibre Science,176,55,13,4,8,244,['textile manufacturing'],textile manufacturing,Textiles,12,True
5,Dr A K Choudhary,Professor,Textile Engineering,Yarn Manufacturing,69,55,5,8,3,129,['textile manufacturing'],textile manufacturing,Textiles,11,True
6,Dr Monica Sikka,Professor & Head,Textile Engineering,Healthcare Textiles,46,48,13,2,0,107,['textile manufacturing'],textile manufacturing,Textiles,2,True
7,Dr Vinay Midha,Professor,Textile Engineering,Healthcare Textiles,90,46,18,2,5,154,['textile manufacturing'],textile manufacturing,Textiles,7,True
8,Dr Lalit Jajpura,Associate Professor,Textile Engineering,Textile Chemical Preprocessing,51,21,11,3,4,83,['textile manufacturing'],textile manufacturing,Textiles,7,True
9,Dr M D Roy,Associate Professor,Textile Engineering,Technical Textile,18,19,1,0,0,38,['textile manufacturing'],textile manufacturing,Textiles,0,False
10,Dr N Bhowmick,Associate Professor,Textile Engineering,Water Science,18,6,0,0,0,24,['water and wastewater'],water and wastewater,Civil & Environmental,0,False
11,Dr Palaniswamy N. K.,Associate Professor,Textile Engineering,Technical Textile,24,6,1,1,3,31,['textile manufacturing'],textile manufacturing,Textiles,4,True
12,Dr Anilkumar Lalchand Yadav,Assistant Professor (Grade-II),Textile Engineering,Textile Chemical Preprocessing,16,11,4,3,1,31,['textile manufacturing'],textile manufacturing,Textiles,4,True
13,Dr K V P Singh,Assistant Professor,Textile Engineering,Garment Design,15,21,12,0,0,48,['garment design'],garment design,Other,0,False
14,Dr Mukesh Bajya,Assistant Professor (Grade-II),Textile Engineering,Technical Textile,22,8,3,0,5,33,['textile manufacturing'],textile manufacturing,Textiles,5,True
15,Dr. Priyanka Gupta,Assistant Professor (Grade-II),Textile Engineering,Yarn Manufacturing,10,10,3,1,2,23,['textile manufacturing'],textile manufacturing,Textiles,3,True
16,Dr Zunjarrao Bapuso Kamble,Assistant Professor (Grade-II),Textile Engineering,Textile Waste Recycling,22,7,3,0,5,32,['textile manufacturing'],textile manufacturing,Textiles,5,True
1,Dr Arvind K Agnihotri,Professor (HAG) & Head,Civil Engineering,Geotechnical Engineering,76,0,9,2,0,85,['geotechnical engineering'],geotechnical engineering,Civil & Environmental,2,True
2,Dr S P SINGH,Professor (HAG),Civil Engineering,Structural Engineering,1,4,5,2,0,10,['structural engineering'],structural engineering,Civil & Environmental,2,True
3,Dr Hemant S. Chore,Associate Professor,Civil Engineering,Soil-Structure Interaction,84,230,4,9,1,318,['soil-structure interaction'],soil-structure interaction,Other,10,True
